Brand,Type,Date of production,Type of fuel,Rolling mill,Cylinders,Engine size (cm?),Gearbox,Fuel consumption (l),Power (HP),Price (Ft)
Audi,A1,2010,Gasoline,Serial,4,1390,Manual,5.3,122,5824750
Audi,A1,2012,Gasoline,Serial,4,1197,Manual,5.1,86,4574770
Audi,A1,2014,Gasoline,Serial,4,1390,Manual,4.9,140,6021300
Audi,A1,2015,Gasoline,Serial,3,999,Manual,4.2,95,5330740
Audi,A1,2015,Gasoline,Serial,4,1395,Manual,5.1,125,6183860
Audi,A1,2015,Gasoline,Serial,4,1395,Manual,4.7,150,7458940
Audi,A1,2019,Gasoline,Serial,3,1422,Manual,3.6,90,6454370
Audi,A1,2019,Gasoline,Serial,3,999,Manual,,95,6500000
Audi,A1,2020,Gasoline,Serial,4,1498,Automatic,4.8,150,6400000
Audi,A1,2022,Gasoline,Serial,3,999,Automatic,5.5,110,7797080
Audi,A1,2010,Gasoline,Serial,4,1197,Manual,5.1,86,5403000
Audi,A1,2010,Gasoline,Serial,4,1390,Automatic,5.2,122,6326000
Audi,A1,2011,Gasoline,Serial,4,1390,Automatic,5.9,185,7692250
Audi,A1,2011,Diesel,Serial,4,1598,Automatic,4.2,90,5993000
Audi,A1,2012,Gasoline,Serial,4,1390,Manual,5.4,122,5396460
Audi,A1,2012,Gasoline,Serial,4,1390,Manual,5.4,123,5835880
Audi,A1,2014,Gasoline,Serial,4,1390,Manual,4.9,140,6021300
Audi,A1,2014,Gasoline,Serial,4,1390,Manual,5.0,140,6477230
Audi,A1,2015,Gasoline,Serial,4,1395,Manual,4.7,150,6373090
Audi,A1,2015,Gasoline,Serial,4,1395,Manual,4.8,150,6873470
Audi,A1,2015,Diesel,Serial,3,1422,Manual,3.6,90,6460720
Audi,A1,2015,Diesel,Serial,3,1421,Manual,3.5,89,6454370
Audi,A1,2018,Gasoline,Serial,3,999,Manual,4.9,116,6849660
Audi,A1,2018,Gasoline,Serial,3,999,Manual,5.0,117,7305590
Audi,A1,2020,Gasoline,Serial,3,999,Automatic,4.8,110,8277140
Audi,A2,2000,Gasoline,Serial,4,1390,Manual,6.0,75,4840000
Audi,A2,2002,Gasoline,Serial,4,1390,Manual,6.0,75,5112000
Audi,A2,2001,Diesel,Serial,3,1191,Automatic,3.0,61,5424000
Audi,A2,2000,Diesel,Serial,3,1422,Manual,4.3,75,5417000
Audi,A2,2002,Diesel,Serial,3,1422,Manual,4.3,75,5674000
Audi,A2,2002,Gasoline,Serial,4,1598,Manual,5.9,110,5800000
Audi,A2,2003,Diesel,Serial,3,1422,Manual,4.3,90,5700000
Audi,A3,1998,Gasoline,Serial,4,1595,Automatic,4.6,101,5240000
Audi,A3,1999,Gasoline,Serial,4,1781,Manual,8.9,180,9431000
Audi,A3,2001,Gasoline,Serial,4,1781,Automatic,8.9,150,6545000
Audi,A3,2001,Diesel,Serial,4,1896,Manual,5.0,101,6476000
Audi,A3,2007,Gasoline,Serial,4,1798,Manual,7.1,160,6849000
Audi,A3,2008,Diesel,Serial,4,1968,Manual,5.1,140,7769000
Audi,A3,2010,Diesel,Serial,4,1968,Manual,4.4,140,7709280
Audi,A3,2013,Gasoline,Serial,4,1798,Automatic,6.6,180,9244710
Audi,A3,2014,Diesel,Serial,4,1968,Manual,4.7,150,9350120
Audi,A3,2017,Gasoline,Serial,4,1498,Manual,5.2,150,6642010
Audi,A3,2018,Gasoline,Serial,3,999,Automatic,5.3,116,8358420
Audi,A3,2021,Gasoline,Serial,4,1498,Automatic,,131,12001300
Audi,A3,2022,Gasoline,Serial,4,1984,Automatic,6.6,190,14026730
Audi,A3,1998,Gasoline,Serial,4,1595,Manual,7.6,101,4874000
Audi,A3,2000,Gasoline,Serial,4,1595,Manual,7.6,101,5589000
Audi,A3,1999,Gasoline,Serial,4,1595,Automatic,8.6,101,5745000
Audi,A3,1999,Gasoline,Serial,4,1781,Manual,8.4,125,5938000
Audi,A3,1996,Gasoline,Serial,4,1781,Manual,7.4,150,6290000
Audi,A3,1998,Gasoline,Serial,4,1781,Manual,7.8,180,8230000
Audi,A3,1996,Diesel,Serial,4,1896,Manual,5.2,90,6008000
Audi,A3,1999,Diesel,Serial,4,1869,Automatic,6.2,90,7018000
Audi,A3,1998,Diesel,Serial,4,1896,Automatic,6.2,110,6871000
Audi,A3,2000,Gasoline,Serial,4,1781,Automatic,8.2,150,6827000
Audi,A3,2002,Gasoline,Serial,4,1781,Manual,8.9,180,9449000
Audi,A3,2000,Diesel,Serial,4,1896,Manual,5.1,131,6629000
Audi,A3,2003,Gasoline,Serial,4,1984,Automatic,7.7,150,7369000
Audi,A3,2004,Gasoline,Serial,4,1595,Automatic,7.6,102,6374000
Audi,A3,2004,Gasoline,Serial,4,1984,Manual,7.5,200,9350120
